"","income","sex","eth","fedu","parocc"
"61",2004.65813262842,2,1,10,97
"62",1166.19593262842,1,1,11,910
"63",8819.39373262842,1,1,1,94
"64",1912.83533262842,1,1,1,1010
"65",5376.34683262842,2,3,1,103
"66",2049.25723262842,2,1,6,109
"67",1612.18653262842,2,1,6,1010
"68",3612.69813262842,1,1,1,1010
"69",3164.23353262842,2,1,1,1010
"70",6196.96943262842,1,2,10,1010
"71",2746.87783262842,1,1,1,99
"72",11950.2477326284,2,1,1,1010
"73",6375.36543262842,1,1,1,910
"74",4708.25503262842,1,1,3,99
"75",2967.99773262842,1,3,1,1010
"76",2227.65353262842,1,1,4,1010
"77",14046.4027326284,2,2,9,107
"78",2004.65813262842,1,1,1,79
"79",1291.07343262842,1,1,11,910
"80",6598.36103262842,1,1,5,99
"81",9693.53533262842,1,1,1,1010
"82",14670.8737326284,1,4,12,28
"83",1166.19593262842,1,1,8,1010
"84",1857.45003262842,2,1,1,1010
"85",2482.59583262842,2,1,5,38
"86",3372.92543262842,1,1,1,1010
"87",1201.87533262842,2,1,1,1010
"88",11869.5797326284,1,1,7,109
"89",4092.75263262842,1,1,1,105
"90",4609.24283262842,1,1,11,910
"91",845.08281262842,1,1,5,109
"92",12480.0797326284,2,1,1,109
"93",3610.22433262842,2,1,1,98
"94",9274.30383262842,1,1,1,1010
"95",7490.34193262842,1,1,1,99
"96",18417.1107326284,1,1,1,97
"97",6910.55433262842,1,1,1,99
"98",2093.85633262842,1,3,1,99
"99",5661.78093262842,1,1,1,109
"100",4636.00263262842,2,3,1,79
"101",3869.79073262842,2,1,9,910
"102",5505.72873262842,1,3,9,96
"103",6152.37033262842,1,1,3,108
"104",2004.66353262842,1,1,9,910
"105",3837.20203262842,1,1,1,1010
"106",3663.74313262842,1,1,9,1010
"107",1458.50723262842,1,1,1,58
"108",4368.40793262842,1,1,1,107
"109",2718.24313262842,2,1,4,97
"110",4681.20423262842,2,1,1,105
"111",16909.2187326284,2,2,1,107
"112",12004.3407326284,1,1,1,1010
"113",3390.79683262842,2,1,10,56
"114",10527.3257326284,1,1,7,97
"115",6089.93183262842,1,1,4,107
"116",4991.01093262842,2,3,8,109
"117",4973.22523262842,2,1,1,99
"118",8944.27063262842,1,1,1,99
"119",3611.93713262842,2,1,1,99
"120",5572.58273262842,1,1,1,97
"121",2495.24773262842,2,1,8,108
"122",9729.21403262842,1,1,1,98
"123",14554.8317326284,1,1,6,1010
"124",16603.4153992951,2,4,9,47
"125",3003.67713262842,1,1,6,98
"126",11459.6577326284,2,1,1,1010
"127",8426.92203262842,1,1,12,95
"128",2361.45063262842,1,1,1,1010
"129",2629.04513262842,2,1,1,1010
"130",10210.8837326284,1,3,1,910
"131",7676.32783262842,1,1,1,1010
"132",5019.55433262842,1,1,6,108
"133",4769.79953262842,2,1,2,108
"134",4413.00703262842,2,1,8,59
"135",6323.02893262842,1,1,1,910
"136",3119.63473262842,1,1,1,99
"137",7684.55343262842,1,1,1,98
"138",4234.61103262842,1,1,1,1010
"139",15057.3153992951,1,1,1,107
"140",5937.71353262842,2,3,1,99
"141",1826.26203262842,1,1,1,98
"142",6018.57293262842,1,3,11,310
"143",9318.90353262842,1,1,1,99
"144",5750.97873262842,2,1,9,1010
"145",1246.47433262842,1,1,3,108
"146",6892.96603262842,1,1,7,1010
"147",6357.52603262842,1,1,1,1010
"148",1478.38943262842,2,1,1,1010
"149",755.13670262842,1,1,1,1010
"150",5304.98843262842,2,3,5,95
"151",19041.4967326284,2,1,6,1010
"152",3253.43183262842,2,1,1,910
"153",2450.64883262842,2,1,9,105
"154",1915.46013262842,2,1,1,1010
"155",8872.91223262842,1,1,1,1010
"156",3413.98843262842,1,1,2,109
"157",993.28753262842,1,1,1,1010
"158",1216.84243262842,1,1,11,1010
"159",3358.68543262842,1,1,1,910
"160",4145.41273262842,1,1,1,99
"161",1915.46013262842,2,1,1,99
"162",5046.45523262842,2,3,1,1010
"163",20379.4687326284,1,4,11,47
"164",1291.07343262842,2,1,1,109
"165",4479.47133262842,2,1,9,92
"166",622.08757262842,1,1,1,1010
"167",2629.04513262842,1,1,1,1010
"168",6196.96943262842,1,1,7,97
"169",2049.25723262842,2,1,1,105
"170",11370.4597326284,2,1,1,99
"171",2700.40353262842,1,1,1,109
"172",2093.85633262842,1,1,1,910
